Smiles_from_MOE,apol,ast_fraglike,ast_fraglike_ext,ast_violation,ast_violation_ext,a_acc,a_acid,a_aro,a_base,a_count,a_don,a_donacc,a_heavy,a_hyd,a_IC,a_ICM,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nH,a_nI,a_nN,a_nO,a_nP,a_nS,balabanJ,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,bpol,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_heavy,b_max1len,b_rotN,b_rotR,b_single,b_triple,chi0,chi0v,chi0v_C,chi0_C,chi1,chi1v,chi1v_C,chi1_C,chiral,chiral_u,density,diameter,FCharge,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,h_ema,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_dbo,h_log_pbo,h_mr,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,lip_acc,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mr,mutagenic,nmol,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,PC+,PC-,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,petitjean,petitjeanSC,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,radius,reactive,rings,RPC+,RPC-,rsynth,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,VAdjEq,VAdjMa,VDistEq,VDistMa,vdw_area,vdw_vol,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,Weight,weinerPath,weinerPol,zagreb
O([C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](N)C[C@H](O)[C@@H](CN)O2)[C@@H](N)C[C@H]1N)[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](CO)O1,69.069344,0,0,3,5,14,0,0,0,69,10,24,32,16,113.54079,1.6455188,0,0,18,0,0,37,0,5,9,0,0,1.6991706,-2.820209,-0.55846739,0.64639002,2.8439999,-3.0209367,-0.59815866,0.58976078,2.6831062,-2.594214,-0.45437485,0.73399627,3.0567052,44.81266,6,0.17647059,0,71,0,34,4,6,0.17647059,71,0,23.739758,17.667143,10.911331,10.911331,15.081825,10.759047,5.7828231,5.7828231,14,0,0.81942505,14,0,-0.83203965,-0.38522077,0.091629259,3.0943611,-1.3699745,-0.46418536,0.072255127,2.9703887,-0.52500671,-0.24140157,0.16223806,3.2938571,21.548132,21.704659,8.9048424,-10.482202,-5.3435564,1.443296,0,0,11.119811,4.15588,14,4.9982419,7.7794509,7.0545931,26.602076,11.16,5.6444635,26.602076,11.16,5.6444635,9.2774744,14,15,0,2,-6.4120002,1.78328,10.730595,0,1,18,0,3,12,5,10.91,-10.91,4.9531808,-4.9531808,0.042410288,0.079215087,53.607334,90.768478,115.61971,22.309816,51.620865,0,0,17.402626,0,0,0,0,0,82.108322,0.69146812,0.22958565,0.18943536,0.30853191,0.77041435,0.11909654,299.70795,99.510948,82.108322,133.72919,333.92618,51.620865,0.5,1,10.91,-10.91,0.043996334,0.090742439,0.44114357,0.22958565,0.18943536,0.55885643,0.77041435,0.36942106,191.20801,99.510948,82.108322,242.22913,333.92618,160.1208,7,1,3,0.043996334,0.090742439,0.34375,-6.2958002,291.41208,0,128.72963,39.365837,0,0,0,0,37.736813,0,10.8371,43.99955,126.92613,0,84.730072,164.48593,37.736813,39.365837,0,268.17001,0.35236704,6.0874629,3.6185081,9.723424,433.43713,570.54639,10.015024,0,0,0,168.44133,29.416998,166.56207,467.51999,2932,59,168
Nc1nc(N)nc(N)n1,15.880758,1,0,0,1,3,0,6,0,15,3,6,9,0,22.828922,1.5219281,0,0,3,0,0,6,0,6,0,0,0,2.4033213,-2.1510963,-0.67701417,0.65195948,2.1030195,-2.4134581,-0.73644453,0.69835293,2.0705743,-1.8282225,-0.39143893,0.88700598,2.4126093,8.5392418,0,0,6,15,0,9,2,0,0,9,0,6.8533711,4.5736914,1.5,1.7320508,4.1815405,2.2076662,0,0,0,0,0.86588871,4,0,-0.76603639,-0.5618543,0.10455568,1.847701,-1.3405108,-0.63605601,0.23217617,1.8528662,-0.41105852,-0.23164465,0.30417177,2.1348441,8.7879457,11.53808,0,-2.8893604,-2.8893604,0.63776493,0,3.8788273,3.3660631,0,14,14,1,0,7.1111112,2.7222223,2,4.0693736,1.4300345,0.96415818,0.64659393,6,6,1,1,-2.441,-1.4180599,2.891067,1,1,6,1,1,0,1,4.5599999,-4.5599999,1.3734393,-1.3734393,0.14868568,0.19688071,0,0,51.714077,0,47.044724,0,0,0,0,0,17.047728,0,19.953358,0,0.50649577,0.27254802,0.14697535,0.49350426,0.72745198,0.34652889,68.761803,37.001087,19.953358,66.998077,98.758804,47.044724,0.25,0.33333334,4.5599999,-4.5599999,0.15789473,0.19736843,0,0.27254802,0.27254802,1,0.72745198,0.72745198,0,37.001087,37.001087,135.75989,98.758804,98.758804,3,0,1,0.15789473,0.19736843,0.66666669,-1.3818001,98.691559,50.35659,0,0,0,0,0,0,0,5.6972785,3.3064201,0,50.35659,0,0,5.6972785,98.691559,0,0,116.73,0.7642045,4.1699252,1.9591479,6.0257225,135.75989,145.65729,17.047728,0,0,53.22747,0,47.044724,70.2752,126.123,84,9,42
Fc1c(N2CCN(C)CC2)c2OC[C@@H](C)N3c2c(C(=O)C(C(=O)O)=C3)c1,52.08086,0,0,2,3,5,0,6,0,46,2,7,26,17,79.831749,1.7354728,0,0,18,0,1,20,0,3,4,0,0,1.6099478,-2.7464559,-0.53128892,0.46531206,2.6530197,-2.8701489,-0.37161919,0.57648861,2.6186156,-2.4524214,-0.28721562,0.68648124,2.9423387,32.839142,2,0.068965517,6,49,3,29,3,2,0.068965517,40,0,18.585058,14.659148,11.267585,12.1459,12.379918,8.5909967,4.601624,5.5436769,1,0,0.79804593,12,0,-0.85578698,-0.43560857,-0.069684349,2.8191056,-0.98742127,-0.36910385,0.121792,2.8533425,-0.51317096,-0.17326753,0.1368853,3.0909255,8.7737732,10.219959,7.4687133,0.20389216,1.7446125,-3.8002274,0,7.2263803,9.3771038,-0.056138203,8.1500769,8.9955454,1.3494837,4.3537498,19.322235,7.4380164,3.3378685,15.021054,5.7200522,2.5470986,3.304662,7,1,1,0,0.67699999,-2.8395901,9.1526031,0,1,21,1,4,4,0,5,-5,2.3005683,-2.3005683,0.12863304,0.14773625,138.85051,45.411938,19.687904,0,18.782692,14.708499,0,54.241272,0,0,0,11.908636,27.133842,10.271297,0.75716776,0.30368352,0.14461662,0.24283224,0.69631648,0.098215625,258.19162,103.55505,49.313774,82.804962,237.44154,33.491192,0.5,1,5,-5,0.14120001,0.16760001,0.65051085,0.28464293,0.16467266,0.34948918,0.71535707,0.18481652,221.82196,97.062271,56.152817,119.17461,243.93431,63.021801,6,0,4,0.14120001,0.16760001,0.26923078,1.3296,17.248516,16.557388,36.965202,120.06979,27.047791,36.082764,0,34.85754,0,59.043053,9.3595304,47.724434,29.084314,40.754871,15.596547,5.513495,34.85754,108.11765,66.223206,73.32,0.42228913,5.8579812,3.219456,9.1354771,340.99658,452.82233,16.070677,0,0,0,256.57614,23.167019,43.204517,361.37299,1484,51,146
S(=O)(=O)(O[C@H]1C(O)(O)[C@]23N=C(N)N[C@H]2[C@H](COC(=O)N)N(O)C(=N)N3C1)O,46.753483,0,0,3,5,10,0,0,0,44,10,20,27,5,89.328033,2.0301826,0,0,10,0,0,17,0,7,9,0,1,2.0064776,-2.6985762,-0.72056562,0.79163188,2.9131873,-2.9481843,-0.75414813,0.71207011,2.6638396,-2.4755795,-0.55676562,0.91875118,3.1163361,33.15052,4,0.13793103,0,46,3,29,5,5,0.1724138,43,0,20.361443,14.197447,5.6462646,5.878315,12.309203,8.663228,1.9771802,1.9771802,4,0,1.0070682,11,0,-0.84057581,-0.45834184,0.18680182,2.9541125,-1.3716754,-0.54908311,0.10810167,2.7707379,-0.5295046,-0.23628306,0.28906336,3.1759539,17.797838,26.985624,6.0090322,-5.8460073,-5.8532991,0.93949425,1.5335395,3.7467923,8.7934036,-0.76495975,6.4697866,8.7432318,2.1246374,23.6826,21.702734,7.0529513,3.4380164,18.755629,6.0592651,2.940696,4.2090864,16,10,0,2,-3.5650001,-0.50089002,7.9688444,1,1,15,0,3,4,3,10.429,-10.43,4.1413121,-4.1413121,0.086484544,0.089318156,25.988483,32.012836,21.521023,67.395653,47.762638,16.512768,19.199511,0,32.016521,0,4.945097,29.458378,25.866705,28.974211,0.52289951,0.34483036,0.23972239,0.47710049,0.65516967,0.23737809,183.87961,121.26091,84.299294,167.7742,230.39291,83.474915,0.45454547,0.83333331,10.429,-10.43,0.15984274,0.081495687,0.14137177,0.34483036,0.34483036,0.85862821,0.65516967,0.51379788,49.713924,121.26091,121.26091,301.93991,230.39291,180.67899,6,1,3,0.15984274,0.081495687,0.66666669,-5.3085299,157.50633,68.149467,69.869019,39.365837,0,16.78553,0,31.671967,0,23.862217,8.2681198,91.579208,99.349693,75.286819,14.432587,65.794373,0,50.480659,10.28703,257.35001,0.40063059,5.8579812,3.1490951,9.2617378,351.65381,408.46487,24.194593,0,0,41.167557,64.215599,70.687729,175.22879,411.35199,1588,53,154
FCC(=O)N,8.6461716,1,1,0,0,1,0,0,0,9,1,2,5,2,18.529325,2.0588138,0,0,2,0,1,4,0,1,1,0,0,2.6693285,-2.1660953,-0.29255316,0.27487475,2.2767258,-2.5418506,-0.12948564,0.34611776,2.0598054,-1.9390297,-0.061024837,0.30068958,2.4779048,5.8738279,1,0.25,0,8,1,4,2,1,0.25,7,0,4.2844572,2.5706699,1.2071068,1.2844571,2.2700555,1.113614,0.35355338,0.40824831,0,0,0.94264179,3,0,-0.8176474,-0.35678032,0.034430802,1.5890601,-1.3703134,-0.21622448,0.09176743,1.4392408,-0.45374724,-0.12611671,0.054950811,1.7893087,2.2882738,6.8956957,1.8354005,-0.66731596,-0.66731596,0.34248549,0,1.0137523,1.5970809,0,14,14,1,0,5,2.25,4,3.3670938,1.3248423,1.878219,0.89217371,2,2,1,0,-0.824,-0.19279,1.6219969,0,1,0,1,0,1,0,1.71,-1.71,0.87728542,-0.87728542,0.28427073,0.41913426,0,8.5307722,0,32.751644,12.949531,0,0,0,0,0,0,11.908636,13.566921,6.6511192,0.47803468,0.37201467,0.37201467,0.52196532,0.6279853,0.14995064,41.282417,32.126675,32.126675,45.076206,54.231949,12.949531,0.33333334,0.5,1.71,-1.71,0.33274853,0.46783626,0.098783091,0.37201467,0.37201467,0.90121692,0.6279853,0.52920222,8.5307722,32.126675,32.126675,77.82785,54.231949,45.701176,2,0,0,0.33274853,0.46783626,0.40000001,-0.55879998,32.897186,5.2587838,23.862217,24.803848,0,0,0,0,0,14.960114,1.51694,23.862217,14.960114,0,0,32.897186,0,30.062632,0,43.09,0.90438145,3,1.5219281,4.1971598,86.358627,81.746849,13.566921,0,0,17.742489,34.529434,12.949531,31.30941,77.057999,18,2,16
Oc1ccc(CCN)cc1,23.316723,1,1,0,0,2,0,6,0,21,2,4,10,8,30.184917,1.4373771,0,0,8,0,0,11,0,1,1,0,0,2.1695135,-2.4820979,-0.70121324,0.75191653,2.4138975,-2.6659954,-0.61535299,0.81450588,2.4339392,-2.2074885,-0.55370283,0.9000023,2.6886487,11.365277,2,0.2,6,21,0,10,4,2,0.2,15,0,7.3973413,5.7481785,4.7236147,5.3973413,4.8256984,3.3067756,2.6749206,3.5412414,0,0,0.68276292,7,0,-0.83921677,-0.40923536,0.12042855,2.1580515,-1.3632247,-0.29938462,0.16521654,2.2694983,-0.50846058,-0.23624802,0.22935967,2.4353108,2.9164648,4.2401972,1.6792943,-1.7412571,1.2029886,-1.3534945,0,3.2520142,4.0742712,0.99528992,10.264911,4.6746054,1.0330676,4.0476103,8.1000004,4,2.6508875,6.2298064,2.9756629,1.9185718,1.8537804,2,3,1,0,0.94199997,-0.74931997,4.1357322,0,1,6,1,1,2,0,2.2820001,-2.2820001,0.92930967,-0.92930967,0.23384376,0.38720393,17.061544,25.520063,17.238026,0,10.324173,0,0,48.611984,24.509808,0,0,0,0,14.418659,0.84308624,0.55516291,0.091440067,0.15691377,0.44483709,0.065473706,132.94142,87.540451,14.418659,24.742832,70.143806,10.324173,0.42857143,0.75,2.2820001,-2.2820001,0.19719544,0.43382996,0.73376632,0.47150001,0.091440067,0.26623365,0.52850002,0.1747936,115.7034,74.348129,14.418659,41.980858,83.336128,27.562199,4,0,1,0.19719544,0.43382996,0,0.89336997,58.282413,0,0,18.439579,3.185575,18.868406,0,70.572739,0,5.2434282,4.0865202,0,25.385227,0,8.4290028,32.897186,89.441139,18.439579,0,46.25,0.72192812,4.321928,2.4925668,6.2827125,157.68427,200.92188,0,0,0,0,110.00904,0,31.30941,137.18199,127,10,44
O=C1OC=2C([C@@H](O)OCC=2)=C1,19.528757,1,1,0,0,3,0,0,0,17,1,4,11,5,26.325609,1.5485653,0,0,7,0,0,6,0,0,4,0,0,2.0632684,-2.4325552,-0.6081087,0.72251558,2.4907429,-2.4909768,-0.58406788,0.64540654,2.4535556,-2.1880386,-0.45238388,0.88792461,2.7349029,11.349242,0,0,0,18,3,12,3,0,0,15,0,7.8449349,5.6111159,3.9391575,4.4307213,5.2708569,3.2078977,1.8129488,2.3914115,1,0,0.87405574,5,0,-0.77505821,-0.45167673,0.12580961,2.1663868,-0.88314813,-0.37558186,0.049035348,2.1519606,-0.50342017,-0.23609024,0.23750797,2.4078417,4.6119099,4.9857311,3.3335838,0.21379559,0.21379559,-1.0881711,0,2.9774902,3.6215556,0,14,14,1,0,7.6388888,2.8027682,1.322314,5.9575906,2.1254528,0.97779137,1.1511433,4,1,1,0,0.1,-1.52421,3.5360458,0,1,10,1,2,0,0,2.599,-2.599,1.2674186,-1.2674186,0.23042704,0.28658101,14.463444,44.736744,0,11.154908,10.324173,14.708499,0,12.254904,0,0,0,0,16.070677,10.271297,0.6165632,0.2880694,0.19660442,0.38343683,0.71193057,0.1868324,82.610001,38.596878,26.341974,51.374645,95.387764,25.032671,0.40000001,0.66666669,2.599,-2.599,0.27164295,0.26163909,0.33025345,0.39601794,0.2880694,0.66974652,0.60398209,0.38167712,44.248894,53.060322,38.596878,89.735748,80.924324,51.138874,3,1,2,0.27164295,0.26163909,0.54545456,-0.29789999,25.385227,7.7454643,54.388493,20.926258,0,8.4290028,0,35.286369,0,0,3.42168,45.861992,25.385227,0,16.955505,0,35.286369,28.671722,0,55.759998,0.71860999,4.5849624,2.1614761,6.626874,133.98465,176.32857,16.070677,0,0,0,64.342522,31.920755,29.637598,154.121,139,14,58
Brc1c(Oc2c(Br)cc(Br)cc2)ccc(Br)c1,38.122757,0,0,2,2,0,0,12,0,23,0,0,17,16,37.5126,1.6309826,0,4,12,0,0,6,0,0,1,0,0,1.8502251,-2.2034583,-0.65335917,0.69347036,2.1866968,-1.9927078,-0.41667116,1.0172703,2.4516134,-1.8689066,-0.35743347,1.0799031,2.5381036,13.635242,2,0.11111111,12,24,0,18,1,2,0.11111111,12,0,12.413849,14.728194,6.4641018,7.7067423,8.0585508,7.8122382,3.4760678,4.932653,0,0,1.3113453,10,0,-0.74921209,-0.38923281,0.055504344,2.1445353,-0.70184284,-0.18565631,0.51767075,2.4217315,-0.40130457,-0.13587651,0.58989584,2.505146,1.9247799,2.5086293,2.5086293,6.8743606,6.8743606,-6.7341089,0,6.9327617,7.7747483,0,14,14,1,0,13.432098,5.7600002,3.4844444,17.65674,7.7016459,4.7218442,7.9991746,1,0,1,1,6.7779999,-7.52915,8.2392159,0,1,12,0,2,2,2,1.508,-1.5089999,0.71382022,-0.71382022,0.13601878,0.43020853,9.008831,42.509354,0,0,0,0,0,160.77913,87.249695,0,0,0,0,2.503756,0.99171078,0.82943863,0.00828919,0.00828919,0.17056136,0,299.547,250.53258,2.503756,2.503756,51.518185,0,0.5,1,1.508,-1.5089999,0.099469498,0.10934394,1,0.82943863,0,0,0.17056136,0,302.05075,250.53258,0,0,51.518185,0,5,0,2,0.099469498,0.10934394,0.05882353,6.5289001,10.999887,0,0,0,0,12.220418,0,105.85911,0,194.30324,8.3758001,0,10.999887,12.220418,10.486856,0,105.85911,0,183.81638,9.2299995,0.54234898,5.1699252,3.0159414,7.8621507,302.05075,370.45544,0,0,0,0,295.27625,2.503756,0,485.79498,536,24,86
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,37.931515,0,0,1,2,3,0,6,0,32,3,6,20,12,63.317062,1.9786582,0,0,11,2,0,12,0,2,5,0,0,2.4953544,-2.585629,-0.61243582,0.67734885,2.6027472,-2.7590382,-0.56515354,0.65320104,2.5394073,-2.3419557,-0.4666138,0.81235904,2.8372016,16.832483,6,0.30000001,6,32,2,20,6,7,0.34999999,24,0,15.284093,11.582731,6.2485585,6.9996357,9.3622799,6.3555875,3.1402991,4.0412416,2,0,0.94665694,11,0,-0.82000434,-0.42101663,0.095765188,2.4674547,-1.1632546,-0.37380502,0.15399949,2.4838166,-0.5170452,-0.23412631,0.24593082,2.7081568,7.8708973,10.689496,5.5357704,2.1376445,2.1376445,-3.0795412,0,5.2640696,7.2294979,0,14,14,1,0,18.049999,8.4444447,5.3789063,16.215166,7.540915,4.7824607,6.1138592,7,3,1,0,1.09636,-3.32745,7.2775168,1,1,6,1,1,6,0,5.0240002,-5.0240002,2.2154553,-2.2154553,0.12238728,0.17733961,24.509808,60.513763,4.9049287,11.896376,20.648346,19.649082,0,26.718348,59.163895,0,0,0,47.497971,15.671971,0.64465511,0.51189989,0.21694875,0.35534489,0.48810011,0.13839614,187.70712,149.05219,63.169941,103.46737,142.1223,40.297428,0.45454547,0.83333331,5.0240002,-5.0240002,0.18053344,0.14530255,0.38213333,0.59607553,0.42013928,0.61786669,0.40392447,0.19772741,111.26747,173.562,122.33383,179.90701,117.6125,57.573174,6,1,1,0.18053344,0.14530255,0.85000002,1.0045,68.781204,12.344399,32.885044,71.861267,3.185575,0,0,70.572739,6.4686494,81.054039,7.2677698,30.947832,50.770454,68.945755,18.677052,2.7567475,70.572739,26.185041,78.297287,115.38,0.4689956,5.321928,3.2708652,8.3367033,291.17447,341.34012,13.566921,0,0,5.6825762,172.55054,53.711533,46.383339,323.13199,880,29,94
O=C(O[C@@H]1[C@@H](C)C/C(/C)=C/C[C@H]([C@H](C/C(=C/[C@H]([C@H](O)C[C@H](O)C)C)/C)C)OC(=O)CCC1)/C=C/C(=C/C(=C/C=C/C(=C/[C@H](O)[C@@H](O)C[C@@H](O)C)/C)/C)/C,131.33351,0,0,4,6,7,0,0,0,123,5,12,53,42,156.13516,1.2693915,0,0,44,0,0,70,0,0,9,0,0,2.5292883,-2.7244685,-0.49675855,0.53920412,2.7104855,-2.7056174,-0.46453196,0.48360395,2.7682986,-2.4828365,-0.37054792,0.65830559,2.9517369,82.272491,17,0.32075471,0,123,9,53,7,18,0.33962265,114,0,40.249985,33.995571,30.126509,31.83577,24.762743,19.298618,16.719723,19.088299,10,0,0.67557025,32,0,-0.80284303,-0.34623253,0.057569202,3.1043317,-0.9234668,-0.30456394,-0.0082498752,3.1776824,-0.53492022,-0.2038554,0.14978477,3.3322194,11.458877,20.403721,14.485139,8.1608295,8.1608295,-8.5447674,0,7.9621687,21.154453,0,14,14,1,0,51.018867,27.602449,23.739956,44.262928,23.879513,20.497078,19.942965,9,5,0,2,6.441,-8.8098602,21.219938,0,1,18,0,0,27,4,10.791,-10.791,4.5143156,-4.5143156,0.063543178,0.086828671,238.66144,102.58068,0,0,51.620865,29.416998,0,183.44162,165.32497,0,0,0,27.133842,43.845215,0.81946284,0.4984951,0.084295601,0.18053716,0.5015049,0.096241564,690.00873,419.74564,70.979057,152.01692,422.28,81.037865,0.5,1,10.791,-10.791,0.065424889,0.063015476,0.65340483,0.53371674,0.24452847,0.34659517,0.46628326,0.10206672,550.18359,449.40317,205.89923,291.84201,392.62247,85.942787,16,1,1,0.065424889,0.063015476,0.03773585,7.5409002,126.92613,15.490929,115.00475,0,13.232388,15.927875,0,158.78867,150.94725,333.26016,21.2635,69.724205,126.92613,13.232388,61.20842,0,309.7359,15.490929,333.26016,153.75,0.23181304,6.7279205,4.7365007,11.114616,842.02563,1099.8634,27.133842,0,0,0,639.70685,34.424511,94.968445,743.03497,15792,74,246
